County,CountyFIPS,Age Group (5-year),Age Sorting Variable,Sex,Total Population 2020,Total Population 2021,Total Population 2022,Total Population 2023,Total Population 2024,Total Population 2025
Clallam,9,60-64,13,Male,3169,3056.37,2944.29,2892.9,2787.67,2635.26
Clallam,9,65-69,14,Female,4178,4246.78,4249.3,4244.58,4196.64,4033.36
Clallam,9,65-69,14,Male,3571,3618.09,3618.8,3598.46,3556.26,3411.13
Clallam,9,70-74,15,Female,3530,3671.34,3814.73,3940.16,4070.7,4189.43
Clallam,9,70-74,15,Male,3177,3329.54,3466.46,3578.58,3676.2,3658.59
Clallam,9,75-79,16,Male,2278,2402.46,2532.69,2672.32,2813.07,2946.49
Clallam,9,75-79,16,Female,2477,2628.64,2777.9,2932.1,3080.65,3218.29
Clallam,9,80-84,17,Male,1407,1479.58,1546.43,1627.56,1739.11,1828.84
Clallam,9,80-84,17,Female,1487,1589.73,1697.87,1810.05,1929.7,2057.59
Clallam,9,40-44,18,Male,1976,2036.84,2057.49,2104.69,2169.92,2210.22
Clallam,9,85+,18,Female,1516,1519.97,1522.63,1555.99,1613.26,1690.61
Clallam,9,85+,18,Male,1068,1135.44,1183.07,1237.3,1295.78,1360.23
Clallam,9,40-44,18,Female,1876,1947.39,1991.62,2055.79,2096.09,2178.45
Clark,11,0-4,1,Female,14099,13828.24,13963.69,13881.09,13859.02,13834.62
Clark,11,0-4,1,Male,14811,14496.08,14666.97,14504.95,14521.03,14592.38
Clark,11,9-May,2,Male,16464,16118.28,16027.12,15881.94,15822.71,15832.32
Clark,11,9-May,2,Female,15834,15505.14,15392.41,15214.23,15106.49,15067.74
Clark,11,14-Oct,3,Male,18224,18332.49,18400.49,18251.76,18118.01,17728.37
Clark,11,14-Oct,3,Female,17254,17373.07,17506.4,17428.36,17368.83,17041.83
Clark,11,15-19,4,Female,16331,16764.51,16791.42,17299.26,17798.9,18062.37
Clark,11,15-19,4,Male,16898,17320.35,17588.6,18139.7,18726.9,19113.12
Clark,11,20-24,5,Female,14662,15315.77,15059.97,15441.75,15823.56,16202.22
Clark,11,20-24,5,Male,15334,15699.92,15356.3,15471.81,15456.41,15780.37
Clark,11,25-29,6,Male,16171,16022.59,16101.09,16213.16,16566.8,16900.11
Clark,11,25-29,6,Female,15749,15510.98,15538.65,15425.07,15924.9,16441
Clark,11,30-34,7,Male,17118,18094.55,18375.35,18451.07,18748.46,18452.16
Clark,11,30-34,7,Female,16700,17433.12,17761.53,17896.49,18147.61,18007.26
Clark,11,35-39,8,Female,17445,18068.84,18320.93,18460,18850.85,18985.12
Clark,11,35-39,8,Male,17088,18074.35,18514.29,18739.31,19089.25,19264.26
Clark,11,45-49,10,Female,16315,16422.64,16855.19,17345.15,17867.93,18113.9
Clark,11,45-49,10,Male,16160,16338.34,16723.24,17190.89,17569.77,17755.65
Clark,11,50-54,11,Male,15738,16443.02,16842.52,16913.82,17009.99,16751.04
Clark,11,50-54,11,Female,15743,16217.91,16688.33,16865.48,16930.99,16890.73
Clark,11,55-59,12,Female,16498,16344.24,16192.64,16059.09,15976.55,16184.68
Clark,11,55-59,12,Male,15631,15444.43,15524.19,15497.42,15557.19,16004.67
Clark,11,60-64,13,Female,15782,15895.71,16160.78,16316.1,16592.41,16791.8
Clark,11,60-64,13,Male,14861,15046.87,15262.51,15442.31,15558.2,15635.38
Clark,11,65-69,14,Female,15097,15226.2,15418.11,15530.51,15709.76,15789.22
Clark,11,65-69,14,Male,12990,13215.53,13576.02,13795.31,14120.42,14376.97
Clark,11,70-74,15,Female,12397,12967.2,13481.63,13840.44,14188.27,14498.56
Clark,11,70-74,15,Male,10718,11099.12,11457.95,11724.25,11992.07,12207.98
Clark,11,75-79,16,Female,7881,8453.05,9213.45,10039,10794.89,11521.99
Clark,11,75-79,16,Male,6888,7405.15,7958.46,8525.39,9105.91,9569.4
Clark,11,80-84,17,Male,3809,4108.92,4450.51,4790.41,5137.16,5544.94
Clark,11,80-84,17,Female,4794,5039.01,5342.69,5696.78,6134.6,6629.66
Clark,11,85+,18,Male,2930,3021.74,3119.8,3263.85,3475.45,3703.38
